No Track,Lebar Rel (cm),Panjang Rel (cm),Kemiringan Rel (°),Identifikasi Deformasi Ballast (cm)
1,10.0,42000.0,-86.75,7953.42
2,10.0,42000.0,89.43,7675.16
3,10.0,42000.0,-89.58,10760.23
4,10.0,42000.0,-88.95,6815.92
5,10.0,42000.0,89.28,5863.48
6,10.0,42000.0,89.29,4780.52
7,10.0,42000.0,88.38,5135.66
8,10.0,42000.0,-87.88,5606.0
9,10.0,42000.0,-89.39,3977.92
10,10.0,42000.0,-88.66,6401.42
11,10.0,42000.0,-89.4,3531.0
12,10.0,42000.0,-89.46,5364.07
13,10.0,42000.0,-89.53,5683.48
14,10.0,42000.0,-89.71,4563.16
15,10.0,42000.0,-89.81,1986.6
16,10.0,42000.0,-89.1,5297.87
17,10.0,42000.0,88.94,4632.47
18,10.0,42000.0,89.53,7077.32
19,10.0,42000.0,89.7,5603.34
20,10.0,42000.0,-89.15,4565.1
21,10.0,42000.0,89.53,6307.51
22,10.0,42000.0,89.61,6555.1
23,10.0,42000.0,89.78,6148.41
24,10.0,42000.0,88.59,10210.14
25,10.0,42000.0,88.59,8361.19
26,10.0,42000.0,85.75,5840.31
27,10.0,42000.0,89.47,8003.35
28,10.0,42000.0,89.39,6382.04
29,10.0,42000.0,88.78,7192.31
30,10.0,42000.0,89.47,4515.01
31,10.0,42000.0,85.77,8063.53
32,10.0,42000.0,89.67,6845.26
33,10.0,42000.0,89.15,6181.98
34,10.0,42000.0,89.29,6518.44
35,10.0,42000.0,-87.86,5957.35
36,10.0,42000.0,89.65,6813.29
37,10.0,42000.0,89.65,6697.35
38,10.0,42000.0,-88.4,6412.55
39,10.0,42000.0,89.67,7677.05
40,10.0,42000.0,89.65,2475.99
41,10.0,42000.0,89.76,7410.64
42,10.0,42000.0,89.73,6378.9
43,10.0,42000.0,-86.47,8706.84
44,10.0,42000.0,-89.8,8070.02
45,10.0,42000.0,-89.15,5382.54
46,10.0,42000.0,-89.7,9136.72
47,10.0,42000.0,-89.79,4639.35
48,10.0,42000.0,85.76,4421.37
49,10.0,42000.0,-89.14,5599.43
